month_beginning,route,route_name,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,month_total
2001-02-01,125,Water Tower Express,2385.0,0.0,0.0,47699.0
2001-01-01,52,Kedzie/California,11592.4,8223.9,5112.6,313490.0
2001-04-01,18,16th/18th,1685.9,1003.6,732.2,43079.0
2001-02-01,100,Jeffery Manor Express,1177.7,0.0,0.0,23555.0
2001-01-01,27,South Deering,5629.5,2984.1,2423.6,147904.0
2001-04-01,44,Wallace-Racine,6475.3,3104.4,1669.7,156748.0
2001-03-01,93,California/Dodge,2351.2,1194.8,0.0,57701.0
2001-03-01,52A,South Kedzie,6445.2,3810.1,2187.6,169595.0
2001-01-01,152,Addison,10738.1,4457.2,2287.1,265503.0
2001-01-01,54A,North Cicero/Skokie Blvd.,1281.3,0.0,0.0,28188.0
2001-02-01,29,State,17481.6,12203.1,8857.2,433873.0
2001-03-01,28,Stony Island,13173.1,10381.4,6018.0,365786.0
2001-03-01,12,Roosevelt,11387.9,7384.8,5398.4,309052.0
2001-04-01,52A,South Kedzie,6568.3,3799.0,2381.5,165038.0
2001-02-01,135,Clarendon/LaSalle Express,2703.5,0.0,0.0,54070.0
2001-01-01,56A,North Milwaukee,568.5,0.0,0.0,11938.0
2001-01-01,146,Inner Drive/Michigan Express,9355.1,5362.4,3117.4,242849.0
2001-01-01,6,Jackson Park Express,18443.0,13088.2,7165.6,493926.0
2001-03-01,95W,West 95th,5292.0,5492.3,3095.5,156267.0
2001-01-01,49,Western,23732.1,20598.9,12432.2,666662.0
2001-01-01,62,Archer,14926.0,6856.3,4667.4,379135.0
2001-03-01,19,United Center Express,983.3,2112.2,644.9,22537.0
2001-03-01,73,Armitage,5324.8,2501.6,1403.9,135270.0
2001-02-01,90N,North Harlem,360.1,117.7,0.0,7673.0
2001-01-01,120,Ogilvie/Wacker Express,635.5,0.0,0.0,13982.0
2001-02-01,173,U. of Chicago/Lakeview Express,252.5,493.9,169.4,7703.0
2001-03-01,75,74th-75th,7320.5,5306.7,3294.7,200764.0
2001-03-01,67,67th-69th-71st,14908.6,10345.6,6832.9,407048.0
2001-01-01,94,South California,10603.7,4792.6,3467.0,269786.0
2001-01-01,80,Irving Park,11837.8,8077.1,5275.2,319117.0
2001-01-01,71,71st/South Shore,7136.7,5565.3,3119.0,194863.0
2001-03-01,39,Pershing,2255.8,0.0,0.0,49629.0
2001-04-01,1,Indiana/Hyde Park,6875.1,0.0,0.0,144377.0
2001-02-01,8A,South Halsted,3296.3,2786.2,1535.4,83212.0
2001-02-01,92,Foster,7803.5,4099.3,2744.0,183443.0
2001-03-01,125,Water Tower Express,2221.2,0.0,0.0,48866.0
2001-04-01,54B,South Cicero,4991.5,5094.7,2511.7,137759.0
2001-02-01,57,Laramie,3077.0,1423.8,650.2,69836.0
2001-04-01,73,Armitage,5350.8,2348.0,1617.3,129844.0
2001-01-01,20,Madison,21570.3,12804.3,8184.0,566683.0
2001-02-01,76,Diversey,13775.4,6886.9,5484.3,324993.0
2001-01-01,126,Jackson,10129.2,4785.9,2650.5,255239.0
2001-04-01,88,Higgins,1701.3,749.7,624.6,41849.0
2001-02-01,106,East 103rd,2663.3,611.2,487.6,57661.0
2001-01-01,125,Water Tower Express,2690.8,0.0,0.0,59197.0
2001-04-01,72,North,15970.2,11519.9,8339.9,423154.0
2001-01-01,44,Wallace-Racine,6559.2,2696.0,1564.6,162910.0
2001-02-01,67,67th-69th-71st,14717.0,9908.3,7177.1,362682.0
2001-02-01,95W,West 95th,5348.8,4890.2,3093.9,138913.0
2001-01-01,202,Main/Emerson,480.1,0.0,0.0,10563.0
2001-03-01,97,Skokie,3701.9,2284.9,1369.2,98343.0
2001-03-01,147,Outer Drive Express,9739.4,6144.3,0.0,244988.0
2001-01-01,73,Armitage,4994.3,2688.6,1372.4,127491.0
2001-02-01,65,Grand,6868.3,2964.6,1706.3,156050.0
2001-04-01,80,Irving Park,12655.2,9169.1,6194.3,333407.0
2001-02-01,59,59th/61st,4593.0,2230.1,0.0,100781.0
2001-01-01,62H,Archer/Harlem,1392.2,640.0,0.0,33189.0
2001-03-01,103,West 103rd,3883.1,1681.2,1196.0,98619.0
2001-02-01,20,Madison,23086.4,13594.9,8935.2,551849.0
2001-01-01,19,United Center Express,322.0,327.1,368.4,6273.0
2001-03-01,60,Blue Island/26th,14751.9,10674.1,6835.8,405256.0
2001-02-01,155,Devon,7303.0,5146.8,3888.0,182199.0
2001-01-01,53,Pulaski,21726.0,15984.4,9466.2,589242.0
2001-03-01,90,Harlem,3958.2,3083.3,1618.7,108971.0
2001-03-01,172,U. of Chicago/Kenwood,982.4,76.3,62.6,22245.0
2001-04-01,6,Jackson Park Express,18238.5,12655.7,7509.4,471177.0
2001-01-01,1,Indiana/Hyde Park,6982.6,0.0,0.0,153617.0
2001-04-01,30,South Chicago,3837.4,2288.4,704.2,93261.0
2001-03-01,155,Devon,7675.1,5320.0,3791.9,210621.0
2001-01-01,2,Hyde Park Express,1000.0,0.0,0.0,22001.0
2001-04-01,100,Jeffery Manor Express,1120.6,0.0,0.0,23532.0
2001-02-01,146,Inner Drive/Michigan Express,9206.2,5636.2,3353.7,220082.0
2001-01-01,127,Madison/Roosevelt Circulator,245.9,0.0,0.0,5410.0
2001-03-01,85A,North Central,853.5,86.5,0.0,19209.0
2001-03-01,49,Western,24336.2,20586.9,12524.6,688429.0
2001-04-01,76,Diversey,14598.5,8769.4,5583.1,369563.0
2001-01-01,4,Cottage Grove,22432.2,17994.0,10662.2,618796.0
2001-01-01,50,Damen,8322.7,4419.7,2470.1,213128.0
2001-03-01,203,Ridge/Grant,1700.7,0.0,0.0,37416.0
2001-03-01,51,51st,4966.5,4193.2,2092.8,138600.0
2001-01-01,112,Vincennes/111th,3874.0,1439.3,935.1,95661.0
2001-02-01,203,Ridge/Grant,1823.8,0.0,0.0,36476.0
2001-03-01,10,Museum of S & I,0.0,974.8,534.1,7010.0
2001-04-01,108,Halsted/95th,2957.9,0.0,0.0,62117.0
2001-02-01,55,Garfield,13244.6,8902.1,7052.3,328710.0
2001-03-01,72,North,16133.3,11415.2,7688.1,442762.0
2001-02-01,84,Peterson,4369.3,1983.8,1213.7,100176.0
2001-02-01,19,United Center Express,295.5,331.3,286.1,6903.0
2001-01-01,121,Union/Wacker Express,1210.6,0.0,0.0,26633.0
2001-04-01,36,Broadway,15016.9,13780.9,9602.4,418491.0
2001-01-01,171,U. of Chicago/Hyde Park,864.9,413.2,178.3,21573.0
2001-01-01,90N,North Harlem,318.9,98.7,0.0,7412.0
2001-02-01,82,Kimball-Homan,21175.6,12105.2,7245.6,500916.0
2001-02-01,43,43rd,1390.6,658.6,358.1,31879.0
2001-04-01,87,87th,16133.1,10908.4,6068.6,412772.0
2001-03-01,27,South Deering,6091.2,3486.8,2549.1,161636.0
2001-01-01,77,Belmont,19856.3,12733.9,8400.0,529774.0
2001-04-01,X49,Western Express,5310.4,0.0,0.0,111517.0
2001-02-01,27,South Deering,5805.5,3309.5,2486.8,139294.0
2001-03-01,120,Ogilvie/Wacker Express,837.4,0.0,0.0,18423.0
2001-02-01,14,Jeffery Express,9048.2,0.0,0.0,180965.0
2001-04-01,65,Grand,6767.4,4029.3,2228.3,169373.0
2001-01-01,78,Montrose,8891.8,5826.3,3274.2,235297.0
2001-04-01,59,59th/61st,4436.6,2307.4,0.0,102399.0
2001-02-01,39,Pershing,2242.9,0.0,0.0,44859.0
2001-02-01,202,Main/Emerson,514.7,0.0,0.0,10294.0
2001-02-01,88,Higgins,1705.2,765.6,939.9,40925.0
